sample	unit	platform	fq1	fq2
control_1_SphI_15m_1	1	ILLUMINA	FASTQ/CONCATENATED/control_1_SphI_15m_1_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/control_1_SphI_15m_1_R2_001.merged.fastq.gz
control_2_SphI_15m_1	1	ILLUMINA	FASTQ/CONCATENATED/control_2_SphI_15m_1_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/control_2_SphI_15m_1_R2_001.merged.fastq.gz
ema_11A_SphI_15m_1	1	ILLUMINA	FASTQ/CONCATENATED/ema_11A_SphI_15m_1_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/ema_11A_SphI_15m_1_R2_001.merged.fastq.gz
ema_11A_SphI_15m_2	1	ILLUMINA	FASTQ/CONCATENATED/ema_11A_SphI_15m_2_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/ema_11A_SphI_15m_2_R2_001.merged.fastq.gz
ema_11A_SphI_15m_3	1	ILLUMINA	FASTQ/CONCATENATED/ema_11A_SphI_15m_3_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/ema_11A_SphI_15m_3_R2_001.merged.fastq.gz
ema_13A_SphI_15m_1	1	ILLUMINA	FASTQ/CONCATENATED/ema_13A_SphI_15m_1_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/ema_13A_SphI_15m_1_R2_001.merged.fastq.gz
ema_14A_SphI_15m_1	1	ILLUMINA	FASTQ/CONCATENATED/ema_14A_SphI_15m_1_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/ema_14A_SphI_15m_1_R2_001.merged.fastq.gz
ema_18A_Ema	1	ILLUMINA	FASTQ/CONCATENATED/ema_18A_Ema_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/ema_18A_Ema_R2_001.merged.fastq.gz
ema_20A_Ema	1	ILLUMINA	FASTQ/CONCATENATED/ema_20A_Ema_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/ema_20A_Ema_R2_001.merged.fastq.gz
ema_21A_SphI_15m_1	1	ILLUMINA	FASTQ/CONCATENATED/ema_21A_SphI_15m_1_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/ema_21A_SphI_15m_1_R2_001.merged.fastq.gz
ema_4A_Ema	1	ILLUMINA	FASTQ/CONCATENATED/ema_4A_Ema_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/ema_4A_Ema_R2_001.merged.fastq.gz
isa_11B_SphI_15m_1	1	ILLUMINA	FASTQ/CONCATENATED/isa_11B_SphI_15m_1_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/isa_11B_SphI_15m_1_R2_001.merged.fastq.gz
isa_11B_SphI_15m_2	1	ILLUMINA	FASTQ/CONCATENATED/isa_11B_SphI_15m_2_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/isa_11B_SphI_15m_2_R2_001.merged.fastq.gz
isa_11B_SphI_15m_3	1	ILLUMINA	FASTQ/CONCATENATED/isa_11B_SphI_15m_3_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/isa_11B_SphI_15m_3_R2_001.merged.fastq.gz
isa_13B_SphI_15m_1	1	ILLUMINA	FASTQ/CONCATENATED/isa_13B_SphI_15m_1_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/isa_13B_SphI_15m_1_R2_001.merged.fastq.gz
isa_14B_SphI_15m_1	1	ILLUMINA	FASTQ/CONCATENATED/isa_14B_SphI_15m_1_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/isa_14B_SphI_15m_1_R2_001.merged.fastq.gz
isa_15B_Isa	1	ILLUMINA	FASTQ/CONCATENATED/isa_15B_Isa_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/isa_15B_Isa_R2_001.merged.fastq.gz
isa_18B_Isa	1	ILLUMINA	FASTQ/CONCATENATED/isa_18B_Isa_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/isa_18B_Isa_R2_001.merged.fastq.gz
isa_20B_Isa	1	ILLUMINA	FASTQ/CONCATENATED/isa_20B_Isa_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/isa_20B_Isa_R2_001.merged.fastq.gz
isa_21B_SphI_15m_1	1	ILLUMINA	FASTQ/CONCATENATED/isa_21B_SphI_15m_1_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/isa_21B_SphI_15m_1_R2_001.merged.fastq.gz
isa_4B_Isa	1	ILLUMINA	FASTQ/CONCATENATED/isa_4B_Isa_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/isa_4B_Isa_R2_001.merged.fastq.gz
isa_6B_Isa	1	ILLUMINA	FASTQ/CONCATENATED/isa_6B_Isa_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/isa_6B_Isa_R2_001.merged.fastq.gz
kaapio_11_SphI_15m_1	1	ILLUMINA	FASTQ/CONCATENATED/kaapio_11_SphI_15m_1_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/kaapio_11_SphI_15m_1_R2_001.merged.fastq.gz
kaapio_11_SphI_15m_2	1	ILLUMINA	FASTQ/CONCATENATED/kaapio_11_SphI_15m_2_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/kaapio_11_SphI_15m_2_R2_001.merged.fastq.gz
kaapio_11_SphI_15m_3	1	ILLUMINA	FASTQ/CONCATENATED/kaapio_11_SphI_15m_3_R1_001.merged.fastq.gz	FASTQ/CONCATENATED/kaapio_11_SphI_15m_3_R2_001.merged.fastq.gz
